epoch	hours	top1Accuracy
1	0.014677776	25.4400
2	0.015153798	47.7200
3	0.015630066	67.9200
4	0.016106410	75.2600
5	0.016583897	80.1300
6	0.017061130	83.3600
7	0.017539016	84.6600
8	0.018016290	85.6700
9	0.018493907	86.6000
10	0.018971999	87.4000
11	0.019448894	88.3100
12	0.019926423	89.0300
13	0.020403476	90.2100
14	0.020881132	91.0200
15	0.021358781	91.0500
16	0.021836388	91.6500
17	0.022313890	92.0600
18	0.022791932	92.3500
19	0.023269962	92.6300
20	0.023747949	92.9400
21	0.024225510	92.9500
22	0.024704436	93.0100
23	0.025182794	93.2000
24	0.025660813	93.2200
25	0.026139674	93.3500
26	0.026618310	93.3400
27	0.027097979	93.7400
28	0.027577367	93.6400
29	0.028057436	93.6600
30	0.028537631	93.7400
31	0.029017421	93.7400
32	0.029497604	93.7000
33	0.029978122	93.9600
34	0.030458472	94.0000
35	0.030938386	94.1200
